category,target,pool,grain_size,window_size,stride,hop,augmentation,mfcc_l2,fad
percussion,trap.mp3,amen_mono_24k.wav,1,1,1,3,augmented,95.1808,103.6776
percussion,trap.mp3,tabla.wav,1,1,1,3,augmented,194.8409,81.2685
percussion,trap.mp3,tribal.wav,1,1,1,3,augmented,53.1300,69.0265
percussion,tribal.wav,amen_mono_24k.wav,1,1,1,3,augmented,119.2138,111.0579
percussion,tribal.wav,tabla.wav,1,1,1,3,augmented,246.7174,121.5199
percussion,tribal.wav,trap.mp3,1,1,1,3,augmented,71.4897,200.1345
percussion,amen_mono_24k.wav,tabla.wav,1,1,2,1,none,288.7455,130.1321
percussion,amen_mono_24k.wav,trap.mp3,1,1,2,1,none,59.6461,309.6311
percussion,amen_mono_24k.wav,tribal.wav,1,1,2,1,none,82.7718,179.7168
percussion,tabla.wav,amen_mono_24k.wav,1,1,2,1,none,257.2880,514.3579
percussion,tabla.wav,trap.mp3,1,1,2,1,none,144.4680,634.0401
percussion,tabla.wav,tribal.wav,1,1,2,1,none,153.3512,307.0104
percussion,trap.mp3,amen_mono_24k.wav,1,1,2,1,none,165.8481,279.5071
percussion,trap.mp3,tabla.wav,1,1,2,1,none,210.9899,59.9071
percussion,trap.mp3,tribal.wav,1,1,2,1,none,88.5439,185.8406
percussion,tribal.wav,amen_mono_24k.wav,1,1,2,1,none,195.0626,323.8414
percussion,tribal.wav,tabla.wav,1,1,2,1,none,225.8349,68.3553
percussion,tribal.wav,trap.mp3,1,1,2,1,none,67.7579,397.5116
percussion,amen_mono_24k.wav,tabla.wav,1,1,2,1,augmented,299.8200,143.8625
percussion,amen_mono_24k.wav,trap.mp3,1,1,2,1,augmented,64.5197,324.9353
percussion,amen_mono_24k.wav,tribal.wav,1,1,2,1,augmented,100.2435,183.0815
percussion,tabla.wav,amen_mono_24k.wav,1,1,2,1,augmented,272.7127,550.3845
percussion,tabla.wav,trap.mp3,1,1,2,1,augmented,138.6467,612.2291
percussion,tabla.wav,tribal.wav,1,1,2,1,augmented,168.7278,325.4689
percussion,trap.mp3,amen_mono_24k.wav,1,1,2,1,augmented,172.3420,285.3072
percussion,trap.mp3,tabla.wav,1,1,2,1,augmented,224.4524,71.3373
percussion,trap.mp3,tribal.wav,1,1,2,1,augmented,87.4786,187.9101
percussion,tribal.wav,amen_mono_24k.wav,1,1,2,1,augmented,205.1553,332.5874
percussion,tribal.wav,tabla.wav,1,1,2,1,augmented,233.1339,78.2735
percussion,tribal.wav,trap.mp3,1,1,2,1,augmented,64.8059,380.7145
percussion,amen_mono_24k.wav,tabla.wav,1,1,2,2,none,277.3470,129.6105
percussion,amen_mono_24k.wav,trap.mp3,1,1,2,2,none,65.3093,324.3554
percussion,amen_mono_24k.wav,tribal.wav,1,1,2,2,none,82.7857,184.8832
percussion,tabla.wav,amen_mono_24k.wav,1,1,2,2,none,260.3727,534.1698
percussion,tabla.wav,trap.mp3,1,1,2,2,none,143.3248,626.3202
percussion,tabla.wav,tribal.wav,1,1,2,2,none,150.8922,300.9317
percussion,trap.mp3,amen_mono_24k.wav,1,1,2,2,none,163.8256,285.5580
percussion,trap.mp3,tabla.wav,1,1,2,2,none,208.3299,61.7698
percussion,trap.mp3,tribal.wav,1,1,2,2,none,89.0755,186.9296
percussion,tribal.wav,amen_mono_24k.wav,1,1,2,2,none,195.0925,330.9595
percussion,tribal.wav,tabla.wav,1,1,2,2,none,218.6714,65.2924
percussion,tribal.wav,trap.mp3,1,1,2,2,none,68.4345,400.9338
percussion,amen_mono_24k.wav,tabla.wav,1,1,2,2,augmented,295.8611,143.1197
percussion,amen_mono_24k.wav,trap.mp3,1,1,2,2,augmented,65.7895,326.0117
percussion,amen_mono_24k.wav,tribal.wav,1,1,2,2,augmented,100.0398,187.2908
percussion,tabla.wav,amen_mono_24k.wav,1,1,2,2,augmented,272.6652,552.1080
percussion,tabla.wav,trap.mp3,1,1,2,2,augmented,140.9124,617.0985
percussion,tabla.wav,tribal.wav,1,1,2,2,augmented,170.4007,328.2880
percussion,trap.mp3,amen_mono_24k.wav,1,1,2,2,augmented,174.1940,290.4991
percussion,trap.mp3,tabla.wav,1,1,2,2,augmented,218.2534,67.7739
percussion,trap.mp3,tribal.wav,1,1,2,2,augmented,89.2770,190.1742
percussion,tribal.wav,amen_mono_24k.wav,1,1,2,2,augmented,204.8182,332.4924
percussion,tribal.wav,tabla.wav,1,1,2,2,augmented,229.1262,75.8959
percussion,tribal.wav,trap.mp3,1,1,2,2,augmented,65.5790,385.7477
percussion,amen_mono_24k.wav,tabla.wav,1,1,2,3,none,303.4001,154.1869
percussion,amen_mono_24k.wav,trap.mp3,1,1,2,3,none,67.4056,334.4822
percussion,amen_mono_24k.wav,tribal.wav,1,1,2,3,none,73.5983,181.3212
percussion,tabla.wav,amen_mono_24k.wav,1,1,2,3,none,261.8029,541.4322
percussion,tabla.wav,trap.mp3,1,1,2,3,none,143.3481,631.1040
percussion,tabla.wav,tribal.wav,1,1,2,3,none,146.9539,301.0811
percussion,trap.mp3,amen_mono_24k.wav,1,1,2,3,none,176.7138,298.6260
percussion,trap.mp3,tabla.wav,1,1,2,3,none,213.0898,64.6923
percussion,trap.mp3,tribal.wav,1,1,2,3,none,86.0958,191.0797
percussion,tribal.wav,amen_mono_24k.wav,1,1,2,3,none,196.6890,332.9868
percussion,tribal.wav,tabla.wav,1,1,2,3,none,229.2115,74.6204
percussion,tribal.wav,trap.mp3,1,1,2,3,none,70.7952,413.0401
percussion,amen_mono_24k.wav,tabla.wav,1,1,2,3,augmented,303.2025,151.4549
percussion,amen_mono_24k.wav,trap.mp3,1,1,2,3,augmented,64.8562,323.5989
